state,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other,year
Alaska,20,7.0,13.0,,40,15.0,21.0,4,2021
Alabama,35,7.0,26.0,2v,105,28.0,77.0,,2021
Arkansas,35,7.0,27.0,1,100,22.0,78.0,,2021
Arizona,30,14.0,16.0,,60,28.0,31.0,1v,2021
California,40,30.0,9.0,1v,80,60.0,19.0,1,2021
Colorado,35,20.0,15.0,,65,41.0,24.0,,2021
Connecticut,36,23.0,12.0,1v,151,97.0,54.0,1v,2021
Delaware,21,14.0,7.0,,41,26.0,15.0,,2021
Florida,40,16.0,24.0,,120,42.0,78.0,,2021
Georgia,56,22.0,34.0,,180,76.0,103.0,,2021
Hawaii,25,24.0,1.0,,51,47.0,4.0,,2021
Iowa,50,18.0,32.0,,100,41.0,59.0,,2021
Idaho,35,7.0,28.0,,70,12.0,58.0,,2021
Illinois,59,41.0,18.0,,118,73.0,45.0,,2021
Indiana,50,11.0,39.0,,100,29.0,71.0,,2021
Kansas,40,11.0,29.0,,125,41.0,84.0,,2021
Kentucky,38,8.0,30.0,,100,25.0,75.0,,2021
Louisiana,39,12.0,27.0,,105,35.0,67.0,,2021
Massachusetts,40,37.0,3.0,,160,128.0,30.0,,2021
Maryland,47,32.0,15.0,,141,99.0,42.0,,2021
Maine,35,21.0,13.0,1v,151,80.0,66.0,1v,2021
Michigan,38,16.0,22.0,,110,52.0,58.0,,2021
Minnesota,67,31.0,34.0,2,134,70.0,64.0,2,2021
Missouri,34,10.0,24.0,,163,48.0,114.0,,2021
Mississippi,52,16.0,36.0,,122,46.0,75.0,,2021
Montana,50,19.0,31.0,,100,33.0,67.0,,2021
North Carolina,50,22.0,28.0,,120,51.0,69.0,,2021
North Dakota,47,7.0,40.0,,94,14.0,80.0,,2021
Nebraska,49,0.0,0.0,,Unicameral,0.0,0.0,,2021
New Hampshire,24,10.0,14.0,,400,187.0,213.0,,2021
New Jersey,40,25.0,15.0,,80,52.0,28.0,,2021
New Mexico,42,27.0,15.0,,70,45.0,24.0,1,2021
Nevada,21,12.0,9.0,,42,26.0,16.0,,2021
New York,63,43.0,20.0,,150,106.0,43.0,1,2021
Ohio,33,8.0,25.0,,99,35.0,64.0,,2021
Oklahoma,48,9.0,39.0,,101,19.0,82.0,,2021
Oregon,30,18.0,11.0,1,60,37.0,23.0,,2021
Pennsylvania,50,21.0,27.0,"1,1v",203,90.0,112.0,1v,2021
Rhode Island,38,33.0,5.0,,75,65.0,10.0,,2021
South Carolina,46,16.0,30.0,,124,43.0,81.0,,2021
South Dakota,35,3.0,32.0,,70,8.0,62.0,,2021
Tennessee,33,6.0,27.0,,99,26.0,73.0,,2021
Texas,31,12.0,19.0,,150,67.0,82.0,1v,2021
Utah,29,6.0,23.0,,75,17.0,58.0,,2021
Virginia,40,21.0,18.0,1v,100,55.0,45.0,,2021
Vermont,30,21.0,7.0,2,150,93.0,46.0,11,2021
Washington,49,29.0,20.0,,98,57.0,41.0,,2021
Wisconsin,33,12.0,20.0,1v,99,38.0,60.0,1v,2021
West Virginia,34,11.0,23.0,,100,23.0,77.0,,2021
Wyoming,30,2.0,28.0,,60,7.0,51.0,2,2021
