state,year,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other
Alabama,2009,35,19,13,0,105,62,43,0
Alaska,2009,20,10,10,0,40,18,22,0
Arizona,2009,30,12,18,0,60,25,35,0
Arkansas,2009,35,27,8,0,100,71,28,1
California,2009,40,26,14,0,80,51,29,0
Colorado,2009,35,21,14,0,65,38,27,0
Connecticut,2009,36,24,12,0,151,114,37,0
Delaware,2009,21,16,5,0,41,24,17,0
Florida,2009,40,14,26,0,120,44,76,0
Georgia,2009,56,22,34,0,180,75,105,0
Hawaii,2009,25,23,2,0,51,45,6,0
Idaho,2009,35,7,28,0,70,18,52,0
Illinois,2009,59,37,22,0,118,70,48,0
Indiana,2009,50,17,33,0,100,52,48,0
Iowa,2009,50,32,18,0,100,56,44,0
Kansas,2009,40,9,31,0,125,48,77,0
Kentucky,2009,38,15,22,1,100,65,35,0
Louisiana,2009,39,22,15,0,105,52,50,3
Maine,2009,35,20,15,0,151,96,54,1
Maryland,2009,47,33,14,0,141,104,36,1
Massachusetts,2009,40,35,5,0,160,143,16,1
Michigan,2009,38,17,21,0,110,67,43,0
Minnesota,2009,67,46,21,0,134,87,47,0
Mississippi,2009,52,27,25,0,122,74,48,0
Missouri,2009,34,11,23,0,163,74,89,0
Montana,2009,50,23,27,0,100,50,50,0
Nebraska,2009,49,0,0,49,0,0,0,0
Nevada,2009,21,12,9,0,42,28,14,0
New Hampshire,2009,24,14,10,0,400,224,176,0
New Jersey,2009,40,23,17,0,80,48,32,0
New Mexico,2009,42,27,15,0,70,45,25,0
New York,2009,62,32,30,0,150,109,41,0
North Carolina,2009,50,30,20,0,120,68,52,0
North Dakota,2009,47,21,26,0,94,36,58,0
Ohio,2009,33,12,21,0,99,53,46,0
Oklahoma,2009,48,22,26,0,101,40,61,0
Oregon,2009,30,18,12,0,60,36,24,0
Pennsylvania,2009,50,20,29,0,203,104,99,0
Rhode Island,2009,38,33,4,1,75,69,6,0
South Carolina,2009,46,19,27,0,124,53,71,0
South Dakota,2009,35,14,20,1,70,24,46,0
Tennessee,2009,33,14,19,0,99,49,50,0
Texas,2009,31,12,19,0,150,74,76,0
Utah,2009,29,8,21,0,75,22,53,0
Vermont,2009,30,23,7,0,150,95,48,7
Virginia,2009,40,21,19,0,100,44,52,2
Washington,2009,49,31,18,0,98,64,34,0
West Virginia,2009,34,28,6,0,100,79,21,0
Wisconsin,2009,33,18,15,0,99,52,46,1
Wyoming,2009,30,7,23,0,60,19,41,0
Alabama,2010,35,21,14,0,105,60,45,0
Alaska,2010,20,10,10,0,40,18,22,0
Arizona,2010,30,12,18,0,60,25,35,0
Arkansas,2010,35,27,8,0,100,71,28,1
California,2010,40,25,14,0,80,49,29,1
Colorado,2010,35,21,14,0,65,37,27,1
Connecticut,2010,36,24,12,0,151,114,36,0
Delaware,2010,21,15,6,0,41,24,17,0
Florida,2010,40,14,26,0,120,43,76,0
Georgia,2010,56,21,34,0,180,74,105,1
Hawaii,2010,25,23,2,0,51,45,6,0
Idaho,2010,35,7,28,0,70,18,52,0
Illinois,2010,59,37,22,0,118,70,48,0
Indiana,2010,50,17,33,0,100,52,48,0
Iowa,2010,50,32,18,0,100,56,44,0
Kansas,2010,40,9,31,0,125,49,76,0
Kentucky,2010,38,17,20,1,100,65,35,0
Louisiana,2010,39,23,16,0,105,52,50,3
Maine,2010,35,20,15,0,151,95,55,1
Maryland,2010,47,33,14,0,141,104,36,0
Massachusetts,2010,40,34,5,0,160,144,16,0
Michigan,2010,38,16,22,0,110,66,43,0
