state,year,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other
Alabama,1934,,,,,,,,
Alabama,1935,,,,,,,,
Alabama,1936,,,,,,,,
Alabama,1937,,,,,,,,
Alabama,1938,,,,,,,,
Alabama,1939,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1940,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1941,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1942,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1943,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1944,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1945,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1946,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1947,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1948,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1949,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1950,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1951,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1952,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1953,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1954,35.0,35.0,0.0,0.0,106.0,105.0,1.0,0.0
Alabama,1955,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1956,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1957,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1958,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1959,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1960,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1961,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1962,35.0,35.0,0.0,0.0,106.0,106.0,0.0,0.0
Alabama,1963,35.0,35.0,0.0,0.0,106.0,104.0,2.0,0.0
Alabama,1964,35.0,35.0,0.0,0.0,106.0,104.0,2.0,0.0
Alabama,1965,35.0,35.0,0.0,0.0,106.0,102.0,4.0,0.0
Alabama,1966,35.0,35.0,0.0,0.0,106.0,102.0,4.0,0.0
Alabama,1967,35.0,34.0,1.0,0.0,106.0,106.0,0.0,0.0
Alabama,1968,35.0,34.0,1.0,0.0,106.0,106.0,0.0,0.0
Alabama,1969,35.0,34.0,1.0,0.0,106.0,106.0,0.0,0.0
Alabama,1970,35.0,34.0,1.0,0.0,106.0,105.0,1.0,0.0
Alabama,1971,35.0,35.0,0.0,0.0,106.0,103.0,2.0,1.0
Alabama,1972,35.0,35.0,0.0,0.0,106.0,103.0,2.0,1.0
Alabama,1973,35.0,35.0,0.0,0.0,106.0,103.0,2.0,1.0
Alabama,1974,35.0,35.0,0.0,0.0,106.0,104.0,2.0,0.0
Alabama,1975,35.0,35.0,0.0,0.0,105.0,105.0,0.0,0.0
Alabama,1976,35.0,35.0,0.0,0.0,105.0,105.0,0.0,0.0
Alabama,1977,35.0,33.0,0.0,0.0,105.0,103.0,0.0,0.0
Alabama,1978,35.0,34.0,0.0,1.0,105.0,103.0,2.0,0.0
Alabama,1979,35.0,35.0,0.0,0.0,105.0,101.0,4.0,0.0
Alabama,1980,35.0,35.0,0.0,0.0,105.0,101.0,4.0,0.0
Alabama,1981,35.0,35.0,0.0,0.0,105.0,100.0,4.0,0.0
Alabama,1982,35.0,35.0,0.0,0.0,105.0,100.0,4.0,0.0
Alabama,1983,35.0,32.0,3.0,0.0,105.0,97.0,8.0,0.0
Alabama,1984,35.0,32.0,3.0,0.0,105.0,97.0,8.0,0.0
Alabama,1985,35.0,28.0,4.0,3.0,105.0,87.0,12.0,5.0
Alabama,1986,35.0,28.0,4.0,3.0,105.0,87.0,12.0,5.0
Alabama,1987,35.0,30.0,5.0,0.0,105.0,89.0,16.0,0.0
